Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
29/11/2024,422.00,Food,Week 4 (25-30),School
29/11/2024,170.00,Angkas,Week 4 (25-30),School
30/11/2024,700.00,Cafe Leonor,Personal,Weekend
30/11/2024,65.00,Transpo ,Transportation,Weekend
01/12/2024,"6,500.00",December Rent ,Dec Rent,Weekend
01/12/2024,337.00,Popeyes +  Ice Cream,Week 1 (1-7),Weekend
1/12/2024,200.00,Laundry,Laundry,Weekend
02/12/2024,346.00,24 Chicken ,Week 1 (1-7),School
02/12/2024,22.00,Transpo,School,School
03/12/2024,379.00,Chowking,Week 1 (1-7),School
03/12/2024,190.00,Water Bill,Water Bill,School
04/12/2024,319.00,Jollibee ,Week 1 (1-7),Regular
05/12/2024,225.00,Food,Week 1 (1-7),School
05/12/2024,75.00,Spotify,Personal,School
06/12/2024,360.00,Milktea,Week 1 (1-7),School
06/12/2024,87.00,DOST Requirements,School,School
06/12/2024,50.00,Transpo ,Transportation,School
07/12/2024,75.00,Transpo,Transportation,Weekend
07/12/2024,60.00,Play,Personal,Weekend
07/12/2024,262.00,Food,Personal,Weekend
08/12/2024,500.00,Power Bill Payment,Power Bill,Weekend
08/12/2024,400.00,Wifi Bill Payment,Internet Bill,Weekend
08/12/2024,279.00,Food,Week 2 (8-14),Weekend
08/12/2024,100.00,Laundry,Laundry,Weekend
09/12/2024,100.00,KTV,Personal,School
09/12/2024,339.00,Food,Week 2 (8-14),School
09/12/2024,11.00,Transpo,Transportation,School
10/12/2024,361.00,Food,Week 2 (8-14),School
10/12/2024,102.00,Transpo ,Transportation,School
11/12/2024,250.00,Shot,Personal,Regular
11/12/2024,77.00,Christmas Party,School,Regular
11/12/2024,118.00,Food,Week 2 (8-14),Regular
11/12/2024,40.00,Transpo,Transportation,Regular
11/12/2024,50.00,KTV,Personal,Regular
12/12/2024,425.00,Food,Week 2 (8-14),School
13/12/2024,475.00,Food,Week 2 (8-14),School
14/12/2024,678.00,Food,Week 2 (8-14),Weekend
14/12/2024,200.00,Transpo ,Transportation,Weekend
15/12/2024,35.00,Transpo,Transportation,Weekend
15/12/2024,235.00,Food,Week 3 (15-21),Weekend
16/12/2024,449.00,Food,Week 3 (15-21),School
17/12/2024,444.00,Food,Week 3 (15-21),School
17/12/2024,250.00,Exchange gift ,Personal,School
17/12/2024,90.00,Transpo,Transportation,School
17/12/2024,150.00,KTV,Personal,School
18/12/2024,400.00,Pizza,Birthday Celeb,Regular
18/12/2024,170.00,Transpo,Transportation,Regular
18/12/2024,190.00,Milktea,Birthday Celeb,Regular
18/12/2024,500.00,Primablend,Birthday Celeb,Regular
18/12/2024,250.00,Cable + Earphone,Personal,Regular
19/12/2024,890.00,Food,Birthday Celeb,School
20/12/2024,330.00,Food,Week 3 (15-21),School
21/12/2024,246.00,Food,Week 3 (15-21),Weekend
23/12/2024,265.00,Food,Personal,Regular
25/12/2024,200.00,Milktea ,Personal,Regular
25/12/2024,194.00,Mango Graham ,Personal,Regular
27/12/2024,50.00,Medyas,Personal,Regular
27/12/2024,100.00,Transpo,Transportation,Regular
27/12/2024,540.00,Food for Year End Party,Personal,Regular
27/12/2024,438.00,Food,Personal,Regular
27/12/2024,50.00,Play,Personal,Regular
28/12/2024,335.00,Cinema,Personal,Weekend
28/12/2024,410.00,Food,Personal,Weekend
28/12/2024,156.00,Transpo,Personal,Weekend
29/12/2024,105.00,Food,Personal,Weekend
29/12/2024,290.00,Foof,Power Bill,Weekend
01/01/2025,505.00,KFC,Personal,Regular
01/01/2025,26.00,Transpo,Transportation,Regular
3/1/2025,75.00,Spotify,Personal,Regular
04/01/2025,131.00,Food,Personal,Weekend
04/01/2025,50.00,Parking Ticket,Personal,Weekend
05/01/2025,65.00,Transpo,Transportation,Weekend
05/01/2025,240.00,Food,Week 1 (5-11),Weekend
06/01/2025,200.00,Water,Water Bill,School
06/01/2025,400.00,Wifi,Internet Bill,School
06/01/2025,330.00,Food,Week 1 (5-11),School
07/01/2025,294.00,Food,Week 1 (5-11),School
08/01/2025,728.00,Food,Week 1 (5-11),Regular
08/01/2025,290.00,Medyas,Grocery,Regular
08/01/2025,115.00,Transpo,Transportation,Regular
01/01/2025,"6,500.00",January Rent,Jan Rent,Regular
01/05/2025,325.00,Body wash,Grocery,School
09/01/2025,"10,000.00",Tuition Payment,Tuition,School
09/01/2025,438.00,Food,Week 1 (5-11),School
09/01/2025,50.00,Transpo,Transportation,School
09/01/2025,405.00,Cinema,Personal,School
09/01/2025,95.00,Mt,Personal,School
10/01/2025,85.00,Food,Week 1 (5-11),School
10/01/2025,100.00,Transpo,Transportation,School
10/01/2025,10.00,Print,School,School
10/01/2025,254.00,Coffee ,Personal,School
10/01/2025,149.00,Subs,Personal,School
11/01/2025,114.00,Food,Week 1 (5-11),Weekend
11/01/2025,110.00,Transpo,Transportation,Weekend
12/01/2025,159.00,Food ,Personal,Weekend
13/01/2025,75.00,Transpo,Transportation,School
13/01/2025,356.00,Food,Week 2 (5-18),School
13/01/2025,200.00,Laundry,Laundry,School
14/01/2025,373.00,Food,Week 2 (5-18),School
15/01/2025,592.00,Food ,Week 2 (5-18),Regular
15/01/2025,100.00,KTV,Personal,Regular
16/01/2025,398.00,McDo,Week 2 (5-18),School
